0,1,2,3,4,5,6,7,8
1,20,19,5,5,9,14,19,-5
3,20,19,5,5,9,15,25,-10
3,19,19,6,1,12,15,28,-13
2,15,19,3,6,10,16,25,-9
2,14,19,1,11,7,18,25,-7
3,12,19,3,3,13,14,34,-20
1,43,19,14,1,4,32,12,20
0,35,19,10,5,4,33,20,13
0,34,19,10,4,5,37,19,18
0,33,19,10,3,6,26,25,1
0,32,19,9,5,5,19,15,4
0,30,19,8,6,5,31,26,5
1,30,19,9,3,7,24,22,2
2,29,19,8,5,6,31,18,13
1,29,19,8,5,6,29,22,7
1,29,19,8,5,6,24,18,6
1,28,19,8,4,7,30,26,4
2,26,19,8,2,9,26,29,-3
2,26,19,7,5,7,19,24,-5
3,26,19,8,2,9,17,24,-7
2,25,19,7,4,8,19,16,3
2,22,19,6,4,9,20,32,-12
3,16,19,4,4,11,17,28,-11
3,16,19,4,4,11,11,26,-15
3,14,19,3,5,11,15,35,-20
3,7,19,1,4,14,10,33,-23
0,35,19,9,8,2,36,21,15
0,31,19,8,7,4,30,21,9
1,31,19,8,7,4,18,12,6
0,31,19,8,7,4,26,21,5
0,29,19,7,8,4,27,17,10
1,29,19,7,8,4,26,20,6
3,28,19,7,7,5,20,15,5
1,27,19,6,9,4,24,21,3
1,27,19,8,3,8,21,20,1
2,27,19,7,6,6,15,19,-4
0,25,19,7,4,8,29,23,6
2,25,19,7,4,8,22,24,-2
2,25,19,7,4,8,21,29,-8
1,23,19,4,11,4,25,22,3
3,23,19,5,8,6,14,18,-4
2,22,19,5,7,7,21,21,0
3,19,19,3,10,6,19,20,-1
3,19,19,4,7,8,19,32,-13
2,18,19,4,6,9,17,28,-11
3,8,19,1,5,13,10,36,-26
0,40,19,12,4,3,31,17,14
0,37,19,11,4,4,39,23,16
0,36,19,9,9,1,33,19,14
0,35,19,11,2,6,31,21,10
1,32,19,9,5,5,29,23,6
1,31,19,8,7,4,27,18,9
1,31,19,8,7,4,20,17,3
1,30,19,8,6,5,23,21,2
3,24,19,6,6,7,18,21,-3
0,23,19,5,8,6,20,22,-2
1,22,19,5,7,7,27,29,-2
2,21,19,3,12,4,19,19,0
2,20,19,5,5,9,18,21,-3
3,20,19,5,5,9,24,29,-5
3,19,19,4,7,8,26,30,-4
3,19,19,5,4,10,20,35,-15
2,18,19,4,6,9,21,23,-2
2,18,19,4,6,9,17,26,-9
2,18,19,4,6,9,21,34,-13
3,15,19,3,6,10,20,36,-16
0,38,19,11,5,3,36,12,24
